Publisher
NEC Home Electronics
Sometimes You
Sun Corporation
AtariAge
Image Works
Legacy Games
Matrix Games
Phoenix Games B.V.
Sun Electronics Corp.
Telenet Japan Co.
Winged Cloud
10tons Ltd.
Anco Software Ltd.
Data West
Hi-Tech Expressions
In-Fusio
Kongregate Inc.
Data East USA
Spike Chunsoft Co.
WizardWorks Group
505 Games (U.S.)
Beau Jolly
Destination Software
EpiXR Games UG
JoyBits Ltd.
Sears
Voodoo SAS
HH Games
I-play
Oculus VR
Hothead Games
Rovio Entertainment Oy
Software Toolworks
Texas Instruments Incorporated
Bandai America
Bothtec
iWin
King.com Ltd.
Orisinal
Tapps Tecnologia da Informação Ltda.
Empire Software
Hi-Tec Software Ltd.
Martech Games Ltd.
Silverbird Software Ltd.
Spinnaker Software Corporation
Acornsoft Limited
Focus Multimedia Ltd.
media Verlagsgesellschaft mbH
Spiderweb Software
ZOO Corporation
Bootant LLC
FairyTale
Gamevil Inc.
Kwalee Ltd.
New Reality Games
Cases Computer Simulations Ltd.
CBS Software
GSP Software
Llamasoft Ltd.
Ripstone Ltd.
THQ Wireless Inc.
dtp young entertainment GmbH & Co. KG
Kalypso Media GmbH
Konami of Europe GmbH
KSS
Minimol Games
Silmarils
Tom Mix Software
Xbox Game Studios
Bug-Byte Software Ltd.
Idigicon Limited
Jackbox Games
Midway Mfg. Co.
Modus Games
Access Software
Audiogenic Software Ltd.
Digital Melody
Grab the Games
Koei Tecmo Europe Ltd.
SMobile
Agetec
Anirog Software Ltd.
EntwicklerX
Maxis Software Inc.
New World Computing
Puzzle On Word Games
WayForward Technologies
Alawar Five-BN
baKno Games
Cosmi Corporation
Wargaming.net
Artic Computing Ltd
Coktel Vision
Digital Tribe Entertainment
Impressions
Magnavox
Wales Interactive Ltd.
Alligata Software Ltd.
CDV Software Entertainment AG
CE Europe Ltd.
DLM
Electric Dreams Software
Learning Co.
Sabec Limited
UFO Interactive Games
Zenobi Software
Annapurna Interactive
Dnovel
Dovetail Games
M2H B.V.
Onion Inc.
Prism Leisure Corporation Plc
redBit games srl
ariolasoft GmbH
Black Bean Games
Black Shell Media
Encore
Her Interactive
ImperiumGame
JanduSoft S.L.
NanningsGames
Nordic Games GmbH
OrangePixel
OtakuMaker SARL
Oxygen Interactive Software Ltd.
Renegade Software
Softside Publications
Spectral Associates
System 3 Software Ltd.
Core Design Ltd.
Donut Games
English Software Company
Greenstreet Software Ltd.
Krisalis Software Ltd.
Magic Bytes
T&E Soft
Ultimate Games S.A.
Unicorn Software Company
Watara
Anawiki Games
Davilex Games B.V.
Dynacomp
LeapFrog Enterprises
Majesco Sales
Millennium Interactive Ltd.
Nordcurrent UAB
Polarbit AB
SakuraGame
Strategic Studies Group Pty Ltd.
Tecmo Koei America Corp.
11 bit studios S.A.
AEROSOFT GmbH
Compile
Fox Interactive
INTENIUM GmbH
Interplay Productions Ltd.
Level-5 Inc.
Marvelous Inc.
astragon Entertainment GmbH
Buena Vista Games
Cocktail Soft
Future Publishing Limited
Green Sauce Games Ltda. - ME
Imagineer Co.
Marvelous Europe
Nihon Bussan Co.
Simulmondo
Softstar Entertainment Inc.
TAKARA Co.
Wadjet Eye Games LLC
Wired Productions
Zigurat Software S.L.
Amaxang Games
Double Fine Productions
Frontier Developments plc
Gogii Games Corp.
Inti Creates Co.
Microïds Indie
PROTOTYPE Co.
SAT-BOX
Sir-tech Software
TRS-80 Software Exchange
Zynga Inc.
Datasoft
SCi Games Ltd.
TDK Mediactive
Tiger Electronics
BadLandGames S.L.
Bally Midway Mfg Co.
CDS Software Ltd
Datamost
Encore Software
Irem Software Engineering
Limited Run Games
Pony Canyon
Riverhill Soft Inc.
Ubhres Productions
BUG-Studio
City Interactive S.A.
Destineer
Epic Games
Ghost_RUS Games
Google Inc.
IBM
Imagic
Konami Digital Entertainment GmbH
Legacy Interactive Inc.
Level 9 Computing
M.C. Lothlorien Ltd
T & D Subscription Software
Aldorlea Games
BAM! Entertainment
Creative Wonders LLC
D.O. Corp.
Edmark Corporation
Global Software Publishing Ltd.
Jaleco USA
KOEI Corporation
Mindscape International Ltd.
Naxat Soft
rokapublish GmbH
Snapbreak Games AB
Synapse Software Corporation
American Softworks Corporation
Edge
EnjoyUp Games S.L.
Interceptor Software
Klabater SA
Little Orbit
Med Systems Software
Namco Networks America Inc.
Phoenix Games Ltd.
Selectsoft Publishing
SystemSoft
Addictive Games Ltd
Apple Computer
CIRCLE Entertainment Ltd.
Commodore Business Machines (UK) Ltd.
General Masters Corp.
Imagine Software Ltd.
NEC Interchannel
Sinclair Research Ltd.
Alawar Premium Limited
Aquaplus
bontegames
Good Shepherd Entertainment
Instant Software
Kadokawa Games
Kagura Games LLC
Out of the Park Developments GmbH & Co. KG
Pokémon Company
Rising Star Games Ltd.
SNK Corporation of America
TalonSoft
Video System Co.
21st Century Entertainment Ltd.
Dharker Studios Limited
Genki Co.
HAL Laboratory
iWin.com
Lightwood Games
Maximum Games
Ninja Kiwi
Soleau Software
T-Bull S.A.
Virgin Mastertronic Ltd.
Vivid Games S.A.
Astraware Limited
Blitwise Productions LLC
Capstone Software
COMPUTE! Publications
Cult Games
Frozenbyte Oy
Idea Factory International
LJN
Radiangames Inc
TopWare Interactive
Wolf Team
XSEED Games
Digital Integration Ltd.
Dinamic Multimedia
eSolutions Nordic AB
Feral Interactive Ltd.
Funbox Media Ltd.
Halfbrick Studios Pty Ltd
Micro Application
Midway Manufacturing Company
Pack-In-Video Co.
Psikyo
Romik Software Ltd
Sandlot Games
ASF s.c.
Atypical Games s.r.l.
BMG Interactive Entertainment
Computerware
EMME Interactive SA
Illusion
JAST Co.
Koch Media GmbH (Austria)
Kogado Studio
Libredia GmbH
Mikro-Gen Ltd
NevoSoft LLC
Nicalis
Ariolasoft UK
Assemble Entertainment GmbH
Backflip Studios
First Star Software
FlyingCubicle
id Software
Keypunch Software
MAGES. Inc.
Titus Software Corporation
Wanadoo Edition
Back to Basics Gaming
Bubble Bus Software
Droid Riot Studio
Frima Studio Inc.
Hudson Entertainment
Klei Entertainment Inc.
Mindscape SA
Nexon Korea Corporation
Players Premier
PrincessSoft
RCMADIAX LLC
Russobit-M
Conspiracy Entertainment Corp.
CyberFront Corporation
Digital Chocolate
dk'tronics
Excalibur Publishing Limited
HotFoodGames
Incentive Software Ltd.
inXile Entertainment
Kotobuki System Co.
Merscom LLC
NovaLogic
PeopleFun
Xonox
bitComposer Entertainment AG
Chucklefish Ltd.
Flair Software Ltd.
Funsoft GmbH
Hayden Book Company
HeroCraft Ltd
Humble Games
INTV Corp.
Ludia
nuGAME
Palace Software
Rabbit Software Ltd
Solar Software
Surprise Attack Pty Ltd
Toshiba-EMI Ltd.
UIG Entertainment GmbH
Vivendi Games
AlignmentSharp
Application Systems Heidelberg Software GmbH
ARB Studios LLC
Brother Industries
EnsenaSoft
Europress Software Ltd.
Konami (America)
Marvelous USA
Mattel Interactive
Playdius Entertainment
Rogue Games
SNK of America
Softape
Technical Group Laboratory
Tomahawk
Tomy Company
Ultimate Play the Game
winterworks GmbH
Absolute Entertainment
Asmodee North America
Barnstorm Games Limited
Bitlock Studio
Blender Games
CI Games S.A.
Codigames
Com2uS Corporation
Creat Studios
Gambitious Digital Entertainment
GameTap LLC
Grip Digital
Hi-Rez Studios
Indienova LLC
IR Studio
Knfgame
Meridian4
MLB Advanced Media
Polarware
Thalion Software GmbH
Three-Sixty Pacific
Troll Associates
Zachtronics LLC
Blowfish Studios Pty Ltd
Commodore Business Machines
CP Verlag
Deck 13 Interactive GmbH
DesignWare
DotEmu SAS
Exidy
HugePixel
iCivics
Illusion Labs AB
Imagine
InterAction studios
Interactive Magic
Intermediaware
Namco Bandai Games Europe SAS
Paramount Digital Entertainment
RewindApp
Sammy Corporation
Shrapnel Games
Trivial Technology LLC
Viacom New Media
Walt Disney Computer Software
Akupara Games
American Laser Games
Amusement Marketing International
Arcen Games
Big Blue Bubble Inc.
Bullet-Proof Software
Chorus Worldwide Games
Coleco Industries
Double Eleven Limited
Durell Software Ltd.
Ember Entertainment
Epic MegaGames
Flipline Studios
h8games LLC
Hasbro
Kadokawa Shoten
Molleindustria
NBG EDV Handels- und Verlags GmbH & Co. KG
Nichibutsu
putilin_industries
Realore Studios
Rising Star Games Inc.
SouthPeak Interactive LLC
Thalamus Ltd
Victor Interactive Software
3D Realms Entertainment
Ahoiii Entertainment UG
Arcade Lab
Argus Press Software Ltd.
ARTE France
Atriagames
Creative Software
Fellow Traveller Games
Funcom Oslo A/S
G5 Entertainment AB
Gearbox Publishing
Grandslam Entertainments Ltd.
Home Entertainment Suppliers Pty. Ltd.
increpare games
KuKo
MVP Software
PikPok
Rack-It
RealArcade
Reliance Big Entertainment UK Private Ltd
roseVeRte
SayGames LLC
SETA Corporation
Supersoft
Thorn EMI Video Ltd.
TimSoft
Tinybop Inc.
Tripwire Interactive
Voltage Inc.
Wizards of the Coast
ZOO Digital Publishing Ltd.
1C Entertainment
Active Software
Cactus Software
Koch Media GmbH (Germany)
Leisure Genius
Mark Data Products
Micro Power Ltd
My.com B.V.
OtakuMaker.com
Pixelbite AB
Radarsoft BV
RCA Corporation
Scottgames
SMG Studio Pty. Ltd.
Xtalsoft Co.
Affect Co.
Altair
AnotherIndie LLC
Beyond
Crazy Labs Ltd.
Crystalware
dB-SOFT
Dead Drop Studios LLC
Global Star Software Ltd.
Green Man Gaming Publishing
MarkSoft
Mastertronic
Merit Software
MicroValue
Mindplay
NewKidCo
Nnooo Pty Ltd.
Nokia
Penguin Software
Pokémon Company International
ReadySoft Incorporated
Revival Studios
Rusty Lake B.V.
ShareData
Smithsonian Institution
Success Corporation
Valcon Games LLC
Warner Bros. Entertainment Inc.
Webfoot Technologies
A&F Software Ltd.
Amsoft
Automated Simulations
Awem Studio
Bossa Studios Ltd.
Cascade Games
Crazysoft Limited
Crytek GmbH
Datam Polystar
DigiPen (USA) Corp.
Digital Game Group
Dro Soft
Family Soft Co.
Freeze Tag
GO! Media Holdings Ltd.
Great Co.
Grey Alien Games
Hexage Ltd
ITE Media ApS (Interactive Television Entertainment)
Metro3D Europe Ltd.
Microids SA
Molimerx Ltd.
Nickervision Studios
Nomad Games Ltd.
Ovilex Soft SRL
Piranha
Ravensburger Interactive Media GmbH
Raw Thrills
Silky's
Swing! Entertainment Software GmbH
Team Spikkeee
Tommy's Toys
Triority Interactive Novels
Xitilon
1001001
All in! Games Sp.z o.o.
Beamdog
Crystal Game Works
Crystal Shard
Electronic Zoo
Glitch Games Ltd
Grabit
Hanako Games
HVB Software
Impressions Games
inkle Ltd.
Invictus Games
Ketchapp SAS
KIDDINX Entertainment GmbH
Levande Böcker i Norden AB
Locomalito
Mad Hatter Software
Mastiff
MDickie Limited
Mojang AB
NEC Technologies
Parker Brothers
PET User Group
Sago Sago Toys Inc.
Sound Source Interactive
Stardock Entertainment
StormBASIC S.L.
subLOGIC
TeamLava
Technosoft Co.
Top Hat Studios
Williams Electronics
Wizards of the Coast LLC
Acclaim Entertainment Ltd.
Altron Corporation
ARESCO
Argent Games
Athena Co.
Birdy Soft
Casual  Arts
Channel Four Television Corporation
Choice Provisions Inc.
Crimson Cow GmbH
DANGEN Entertainment KK
Digital Equipment Computer Users' Society (DECUS)
Dream Up
Erbe Software
Fatshark AB
Genterprise Inc.
KupiKey d.o.o.
Laughing Jackal Ltd.
Learning Technologies
Legend Entertainment Company
Magical Company Ltd.
Might and Delight AB
MTV Games
Night Dive Studios
Pangea Software
Philips Export B.V.
Phoenix Online Publishing
Ravenous Games Inc.
RetroSpec
Scopely
SoftKey Multimedia Inc.
Tale of Tales BVBA
Telegames
Tri Synergy
Unbalance Corporation
ZeniMax Europe Ltd.
Amanita Design s.r.o
Ankama SAS
Bloober Team SA
Boomzap Pte. Ltd.
BorderLeap
Bulldog Software
Bullid Games
California Dreams
CAVE Co.
CFK Co.
Eclipse Games SC
Game  Arts
Game Trust
Gamelion Inc.
Got Game Entertainment
Hayden Software Co.
Hewlett-Packard Company Users' Library
InnoGames GmbH
Jujubee S.A.
Kixx
Libredia Entertainment GmbH
Lucasfilm Games LLC
Mosaic Publishing
Neko Entertainment SARL
New Breed Software
Plarium Global Ltd.
Programma International
Sierra Online
Snkl Studio
Software Projects Ltd.
Team Shanghai Alice
Thunder Mountain
Tradewest
Universal Co.
Visual Art's
W.T.B.
Whitethorn Digital
Xicat Interactive
ARC
Axis Games
BadLand Games Publishing
Baltoro Games Sp. z o.o.
Blackstar Interactive GmbH
Chromasette
Crystal Dynamics
DrinkBox Studios Inc.
EuroVideo Medien GmbH
FM Studio
Gaelco
GarageGames
Genera Games S.A.
Goblinz Studio
Graffiti Games Ltd.
Grandslam Video Ltd.
Hitcents.com
Hudson Soft USA
Hutch Games Ltd
Invertmouse
JAMDAT Mobile Inc.
Kasedo Games
Kewlbox
Lion Studios LLC
MADFINGER Games
Masque Publishing
Muse Software
Nival
QubicGames S.A.
Random House
realtech VR
S.R.L. 'RandomSpin-Games'
Sapphire Dragon Productions
Sold Out Sales and Marketing Limited
Stick Sports Ltd
Thetis Games
Usborne Publishing Ltd.
Vector Unit Inc
Vulcan Software Limited
Zoo Publishing
ASCARON Entertainment GmbH
Chunsoft Co.
Digital Leisure Inc.
FDG Entertainment GmbH & Co. KG
FredBear Games Ltd.
Frontwing USA
Gainax Co.
Gust Co.
Halycon Media GmbH & Co. KG
Head Games Publishing
Heart's Choice
Jacaranda Software
LDW Software
Lucky Kat Studios
Mastertronic plus
Megamedia Corp.
Midway Games Limited
Mojon Twins
N.V. Philips Gloeilampenfabrieken
Nekki Ltd.
On-Line Systems
Rainbow Games
Reverb Triple XP
Sega/Gremlin
SNK Playmore USA Corp.
Sting
Super Powerup Games S.L.
System Sacom
Techland Publishing
Tivola Publishing GmbH
TREVA Entertainment GmbH
Tru Blu Entertainment Pty Ltd
UPL Co.
Vertigo Games
Visco Corporation
Wonderbox Games
3 Minute Games
Berkeley Systems
Bmc Studio
Boomzap Inc
Camerica Limited Inc.
CD Projekt RED Sp. z o.o.
Clickteam SARL
Frogster Interactive Pictures AG
Gamenesis
Garage Games
HypeTrain Digital
Infogrames Entertainment SA
Jagex Ltd.
Mad Dog Games
Milkstone Studios S.L.
Neocoregames Ltd.
Ocean of America
PAN Vision AB
phenomedia publishing gmbh
Philips Interactive Media Benelux B.V.
Piacci Co.
Playlogic International N.V.
QuizTix Ltd.
RetroSouls
Sogna
Springloaded Pte. Ltd.
Toplitz Productions GmbH
Universal Interactive Inc.
upjers GmbH & Co. KG
Ziggurat Interactive
704 Games Company
989 Studios
Absolutist Ltd.
Advanced Mobile Applications Ltd
Amaranth
Anarchy Enterprises
ArSoft Corporation
Blue Ribbon Software Ltd.
BYTE Publications
Coconut Island Games
Colin Lane Games AB
Creative Sparks
D&H Games
Entergram
ERE Informatique
Free Lunch Design AB
indiegames3000
Konami Computer Entertainment Japan
Kutoka Interactive Inc
Lace Mamba Global Ltd.
Marvelous Interactive
Mattel
MC2-Microïds
Newgrounds
NimbleBit LLC
Nordic Games Publishing AB
Pioneer LDC
Rake in Grass
Sanctuary Woods Multimedia Corporation
Serenity Forge LLC.
Sun Corporation of America
Sunflat Games
TERMINAL Studio
Time Warner Interactive Inc.
TopWare Interactive AG
Unfinished Pixel
Vic Tokai
Wild River GmbH
Yoostar Entertainment Group
2Awesome Studio VOF
Acorn Software Products
ASP Software Ltd.
Big Ant Studios Pty Ltd
Blue Wizard Digital Inc.
Braintron Software
Buff Studio Co.
Canal+Multimédia
Chubby Pixel
Cinemaware Corporation
Coffee Stain Studios AB
Cyber Keks
Domark Software
Expert Software
Flyhigh Works Co.
Game Factory Interactive Ltd.
Harebrained Schemes LLC
Introversion Software Limited
Ivanovich Games SL
Jeux Kitfox Inc.
JVC Musical Industries
KDE e.V.
LEGO Media International
Liquid Games
LiveWire Software UK
Micronet Co. Ltd.
Mink Co. Ltd.
Namco America Inc.
OperaHouse Corporation
PlayStack Limited
Playstige Interactive LLC
Postern Ltd.
Power House
Revolution Software Ltd.
RGCD.DEV Ltd
Romstar
Soft-World
Software House Parsley
StarSystemStudios
Stegalosaurus Game Company
Strictly Limited Games
Take-Two Interactive Software Europe Ltd.
Tastemakers
Tec Toy Indústria de Brinquedos S.A.
Technical Systems Consultants
Teyon S.A.
The Digital Group
Tribute Games Inc.
Wisdom Tree
Zed Worldwide S.A.
1C-SoftClub
Aventuras AD
Battlefront.com
Bigosaur d.o.o.
Biuro Informatyczno-Wydawnicze
Bold Games
Brighter Minds Media
Cardboard Computer
Codemasters Inc.
Coffee-Powered Games
Computer Rentals Limited
Croteam
DevilishGames
DillyFrame
Entertainment One UK Limited
EXOR Studios sp.j.
Freeverse
Frojo Apps AB
Ghostlight Ltd.
Groove Games
Infogrames Interactive
Kloonigames
Lankhor
Light & Shadow Production
Loadcomplete Co.
Microïds - Games for All
MoFunZone Inc
Monster Planet Co.
Mother Gaia Studio
NCsoft - North America
NEC Avenue
PiEyeGames
PlayDate Digital Inc.
Polygon Art Ltd.
PrimeBit Games S.A.
Prison Games Sp. z o. o.
PSK
Psyclapse
Quality Software
RTL Playtainment
Schell Games
Spike Co.
StarNovel Studio
Victory Software Corporation
WHAT (games)
ZeptoLab UK Ltd.
Alchemist Co.
AtGames Digital Media Inc.
BBC
Beatshapers Ltd.
Binary Mill
Cenega Poland Sp. z o.o.
Cinematronics
City Connection Co.
Cobra Soft
Computer Shack
Digital Equipment Corporation
Finji
Free Spirit Software Inc.
Frosty Pop Games Inc.
Gaming Factory S.A.
Hassey Enterprises
Home Net Games
International PC Owners
Kaneko Co.
Lilith Games
Ludigames
Marmalade Game Studio Ltd
Media Works Inc.
Mode 7 Limited
Mud Duck Productions
No Gravity Games S.A.
Osgoode Media
Paragon Software Corporation
Petite Games
Pixeljam Games
Positech Games
Psytronik Software
Puzzle Lab
QUByte Interactive Ltda.
RTL Enterprises GmbH
SCS Software
SilverStarJapan Co.
Spry Fox LLC
Viacom International Inc.
Wendy Magazine
AJTilley.com
Alpha Denshi Kogyo Co.
Art Games Studio S.A.
BBC Worldwide Ltd.
Black Legend Ltd.
Black Pearl Software
Blue Byte Software GmbH
Buena Vista Interactive
Byte Back
Caravel Games
Channel 8 Software
Cinemaware
Coatsink Software Ltd.
Codename Entertainment Inc.
Coffee Stain Publishing AB
Crunching Koalas Sp. z o.o.
Data Becker GmbH & Co. KG
Devsisters Corporation
Electro Brain Corp.
eRepublik Labs Ltd.
Fisher-Price Learning Software
Flaregames GmbH
Flying Edge
FreezeNova SRL
FuRyu Corporation
G-Collections
Gaijin Entertainment Corporation
Guildhall Leisure Services Ltd.
Hit-Pak
Humming Bird Soft
Index Digital Media
Irregular Corporation
Kool2Play Sp. z o.o.
Kure Software Koubou
Loo Games
M&T Software Partner International GmbH
Marvelous Entertainment Inc.
Monte Cristo Multimedia
Neopets Inc.
NEXON M Inc.
No More Robots Ltd.
Novel Games Limited
Oberon Media
Oxford Softworks
Playmates Interactive Entertainment
Quantum Astrophysicists Guild Inc.
Quantum Quality Productions
Renovation Products
Sigma LLC
Survios
Systems Editoriale s.r.l.
Tan Ton Nerw Information Co.
Tilting Point Media LLC
Tivola Publishing
Topologika Software Ltd.
Victor Musical Industries
Villa Crespo Software
Viriya Jaya Bersama
Vlambeer
Wooga GmbH
XS Games
Yash Future Tech Solutions Pvt Ltd
ZeroUno Games Digital S.L.
A-S-G
Aardvark-80
Acquire Corp.
Aidem Media Sp. z o.o.
Alientrap Games Inc.
Astro Port
BBC Multimedia
Big Duck Games LLC
Blaze Entertainment Ltd.
BrainGoodGames
Cactus Games
Daybreak Game Company LLC
Dear Villagers
Defiant Development Pty Ltd
Digital Tales S.R.L.
Drunken Apes
Endless Loop Studios
Epoch Co.
Fallen Tree Games Ltd.
Fishlabs Entertainment GmbH
Frogwares Game Development Studio
Fugazo Inc.
Fujitsu Limited
Fully Ramblomatic
Game Factory ApS
Game Technopolis
GameTek UK Ltd.
Gametry LLC
HEUREKA-Klett Softwareverlag GmbH
Hit-Point Co.
indie_games_studio
Infinite Dreams Inc.
Jaleco Entertainment
Kabam
Konami Digital Entertainment B.V.
Marginal act
Mass Creation Sp. z o. o.
Microforum International
MicroIllusions
Motion Twin
Muse Games Corp.
nerByte GmbH
North American Philips Consumer Electronics Corp.
Northplay ApS
Noviy Disk
Ocean Media LLC
Oddworld Inhabitants Inc.
Perfect World Entertainment
Philips Interactive Media International Ltd.
Playgendary GmbH
Positive
Program Power
Puppygames
qureate
Red twice potato
Rosa Special Studio
Scott
Screenwave Media
Sikor Soft
Silver Dollar Games Inc.
Software Exchange
SUPERHOT Sp. z o.o.
TikGames
Tonkinhouse
TopWare Interactive GmbH
Weekly Reader Family Software
ABC Television
Accolade Europe Ltd.
American Sammy Corporation
Arcade Distillery
Broken Rules Interactive Media GmbH
Camouflaj
CAVE Interactive Co.
CDV Software GmbH
Database Educational Software
Dejobaan Games
Dempa Shimbunsha
Dongleware Verlags GmbH
Draknek Limited
Dynamix
F1 Licenceware
Failbetter Games Ltd
Fairchild Camera and Instrument Corp.
Game Insight
I.Magic
Idea Software
Inlogic Software s.r.o.
Kadokawa Shoten Publishing Co. Ltd
Krajowa Agencja Wydawnicza
Kurechii Sdn Bhd
Liber Primus Games
Mattel Media
Mediascape Co. Ltd.
Minor Key Games
Mixtvision Mediengesellschaft GmbH
Movie Games S.A.
NaturalMotion Games Ltd.
NetEase Games
Noble Master LLC
Nostatic Software
Not Doppler Pty Limited
Oink Games Inc.
Omnitrend Software
OmNom Apps
Personal Software Inc.
Program Design
Rainbow Train
Red Storm Entertainment
Sacada
SegaSoft
Shiro Games SAS
Silver Cow Studio
Silversoft Ltd
Snowman
Thunderful Publishing AB
Twin Spark Soft
Vertigo Games B.V.
Videlectrix
VTech
Wide Pixel Games
